code,year_,freq,ITEM5601,ITEM6008,ITEM8001,ITEM9304
7545,2016,A,SO,FR0013199916,2661762766.8,4.04733
7587,2016,A,VAC,FR0000073041,367549696.79,0.9699
7628,2016,A,BIG,FR0000074072,66486259.56,0.60983
7691,2016,A,ORA,FR0000133308,38397593331,1.543
7833,2016,A,CC,FR0005025004,6565469522.4,0.46713
7836,2016,A,CC,FR0005025004,6565469522.4,0.46713
7839,2016,A,MAN,FR0000032302,409652343.1,1.08212
7926,2016,A,SAVE,FR0000120107,928978484.4,0.73707
7934,2016,A,BEN,FR0000035164,762453135.32,1.4353
7936,2016,A,BEN,FR0000035164,762453135.32,1.4353
7941,2016,A,ACA,FR0000045072,33494530946,0.61652
8025,2016,A,AC,FR0000120404,10089318548,2.11472
8037,2016,A,SPI,FR0000131732,18045672.48,-31.71383
8049,2016,A,MC,FR0000121014,91068054432,3.45046
8091,2016,A,,FR0000041626,,
8199,2016,A,ATO,FR0000051732,10497402461,2.43232
8226,2016,A,,,,
8229,2016,A,,,,
8247,2016,A,,,,
8250,2016,A,,FR0006484176,,
8268,2016,A,ICAD,FR0000035081,5009988902.2,1.45843
8300,2016,A,ATI,FR0000076655,151729428.15,1.2283
8306,2016,A,,,,
8368,2016,A,NRG,FR0000121691,740737088.15,1.31862
8384,2016,A,EL,FR0000121667,23237148573,3.47445
8386,2016,A,EL,FR0000121667,23237148573,3.47445
8414,2016,A,NEX,FR0000044448,2136276027.4,1.51294
8452,2016,A,CRI,FR0000130692,366326847.6,1.61164
8476,2016,A,ALU,FR0000130007,,
8489,2016,A,ES,FR0000120669,529094430.48,0.54749
8496,2016,A,NK,FR0000120859,5667228269.7,1.98051
8542,2016,A,,,,
8547,2016,A,MED,DE0006595101,278825000,1.53292
8557,2016,A,ADC,DE0005214506,64410053.4,1.0323
8559,2016,A,ADC,DE0005214506,64410053.4,1.0323
8572,2016,A,GME,DE0005495626,58187238.245,2.73679
8608,2016,A,WOLF,DE000A254203,,
8616,2016,A,TTC,DE0007241424,,
8694,2016,A,AGR,DE0005019004,39338000,2.62662
8696,2016,A,AGR,DE0005019004,66238800,2.62662
8754,2016,A,,,,
8758,2016,A,BGS,DE0008216003,,
8771,2016,A,,,,
8827,2016,A,,,,
8836,2016,A,,,,
8854,2016,A,WPC,DE0007816001,,
8856,2016,A,,,,
8858,2016,A,HIW,DE0005020101,2940003.4354,0.78666
8860,2016,A,AGS,DE0005038509,402140592,3.43047
8863,2016,A,BTU,DE0005158406,,
8989,2016,A,ALB,DE0005035505,53592000,11.63599
9020,2016,A,,,,
9097,2016,A,NEM,DE0006452907,2127510000,10.6748
9145,2016,A,TGT,DE0005118806,12995520.99,0.55326
9207,2016,A,PCS,DE0006873805,,
9292,2016,A,,,,
9295,2016,A,,,,
9394,2016,A,ALG,DE0006569403,66597037.173,4.33318
9424,2016,A,DIS,DE0005538607,116757987.85,1.16048
9455,2016,A,DTE,DE0005557508,76187887215,2.59982
9511,2016,A,ALX,DE0005032007,,2.19
9553,2016,A,,,,
9557,2016,A,,DE0006219900,,
9575,2016,A,BIO,DE0005227201,314593043.4,0.87266
9577,2016,A,BIO,DE0005227201,314593043.4,0.87266
