gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,gind
032267,20161231,2016,INDL,C,D,STD,MTEM,MOLECULAR TEMPLATES,USD,A,352010
032285,20161231,2016,INDL,C,D,STD,ECVT,ECOVYST INC,USD,A,151010
032352,20161231,2016,INDL,C,D,STD,HBB,HAMILTON BEACH BND HDNG,USD,A,252010
032365,20161231,2016,INDL,C,D,STD,SYBX,SYNLOGIC INC,USD,A,352010
032372,20161231,2016,INDL,C,D,STD,CEIX,CONSOL ENERGY INC,USD,A,101020
032382,20161231,2016,INDL,C,D,STD,ROKU,ROKU INC,USD,A,502020
032383,20161231,2016,INDL,C,D,STD,DCPH,DECIPHERA PHRMCTAL INC,USD,A,352010
032451,20161231,2016,INDL,C,D,STD,OPTN,OPTINOSE INC,USD,A,352020
032469,20161231,2016,INDL,C,D,STD,SWCH,SWITCH INC,USD,I,451020
032502,20161231,2016,INDL,C,D,STD,ANGI,ANGI INC,USD,A,502030
032519,20161231,2016,FS,C,D,STD,MCB,METROPOLITAN BANK HLDNG,USD,A,401010
032519,20161231,2016,INDL,C,D,STD,MCB,METROPOLITAN BANK HLDNG,USD,A,401010
032525,20161231,2016,INDL,C,D,STD,SPRO,SPERO THERAPEUTICS INC,USD,A,352010
032526,20160131,2015,INDL,C,D,STD,MDB,MONGODB INC,USD,A,451020
032528,20161231,2016,INDL,C,D,STD,FNKO,FUNKO INC,USD,A,255010
032530,20161231,2016,INDL,C,D,STD,ALTR,ALTAIR ENGINEERING INC,USD,A,451030
032541,20161231,2016,INDL,C,D,STD,CARG,CARGURUS INC,USD,A,502030
032571,20161231,2016,INDL,C,D,STD,BAND,BANDWIDTH INC,USD,A,501010
032574,20161231,2016,INDL,C,D,STD,EYE,NATIONAL VISION HOLDINGS INC,USD,A,255040
032610,20160930,2016,INDL,C,D,STD,AQUA,EVOQUA WATER TECH,USD,A,201060
032619,20161231,2016,FS,C,D,STD,MBIN,MERCHANTS BANCORP,USD,A,401020
032619,20161231,2016,INDL,C,D,STD,MBIN,MERCHANTS BANCORP,USD,A,401020
032638,20161231,2016,INDL,C,D,STD,ACMR,ACM RESEARCH INC,USD,A,453010
032665,20161231,2016,FS,C,D,STD,MRBK,MERIDIAN CORP,USD,A,401010
032665,20161231,2016,INDL,C,D,STD,MRBK,MERIDIAN CORP,USD,A,401010
032674,20161231,2016,INDL,C,D,STD,CUE,CUE BIOPHARMA,USD,A,352010
032688,20160731,2016,INDL,C,D,STD,SFIX,STITCH FIX INC,USD,A,255020
032698,20161231,2016,FS,C,D,STD,SBT,STERLING BANCORP INC,USD,A,401020
032698,20161231,2016,INDL,C,D,STD,SBT,STERLING BANCORP INC,USD,A,401020
032715,20161231,2016,INDL,C,D,STD,ARCT,ARCTURUS THERAPETCS HOLD INC,USD,A,352010
032748,20161231,2016,INDL,C,D,STD,NMRK,NEWMARK GROUP INC,USD,A,601020
032763,20161231,2016,FS,C,D,STD,LBC,LUTHER BURBANK CORP,USD,A,401020
032763,20161231,2016,INDL,C,D,STD,LBC,LUTHER BURBANK CORP,USD,A,401020
032767,20161231,2016,INDL,C,D,STD,EQH,EQUITABLE HOLDINGS INC,USD,A,402010
032771,20161231,2016,INDL,C,D,STD,WSC,WILLSCOT MOBILE MINI HOLDING,USD,A,201030
032775,20161231,2016,INDL,C,D,STD,DNLI,DENALI THERAPEUTCS INC,USD,A,352010
032792,20161231,2016,INDL,C,D,STD,QTRX,QUANTERIX CORP,USD,A,352030
032809,20161231,2016,INDL,C,D,STD,AMEH,APOLLO MEDICAL HOLDING INC,USD,A,351020
032919,20161231,2016,INDL,C,D,STD,EOLS,EVOLUS INC,USD,A,352020
032930,20161231,2016,INDL,C,D,STD,ADT,ADT INC,USD,A,253020
032935,20161231,2016,INDL,C,D,STD,CDLX,CARDLYTICS INC,USD,A,502010
032938,20161231,2016,INDL,C,D,STD,WHD,CACTUS INC,USD,A,101010
033037,20160731,2016,INDL,C,D,STD,ZS,ZSCALER INC,USD,A,451030
033056,20160930,2016,FS,C,D,STD,CLBK,COLUMBIA FINANCIAL INC,USD,A,401020
033056,20160930,2016,INDL,C,D,STD,CLBK,COLUMBIA FINANCIAL INC,USD,A,401020
033066,20161231,2016,INDL,C,D,STD,BRSP,BRIGHTSPIRE CAPITAL INC,USD,A,402040
033133,20161231,2016,INDL,C,D,STD,RCUS,ARCUS BIOSCIENCES INC,USD,A,352010
033152,20161231,2016,INDL,C,D,STD,DBX,DROPBOX INC,USD,A,451030
033232,20160131,2015,INDL,C,D,STD,ZUO,ZUORA INC,USD,A,451030
033233,20161231,2016,INDL,C,D,STD,RDVT,RED VIOLET INC,USD,A,202020
033240,20161231,2016,INDL,C,D,STD,FIXX,HOMOLOGY MEDICINES INC,USD,A,352010
033243,20161231,2016,INDL,C,D,STD,WH,WYNDHAM HOTELS & RESRTS,USD,A,253010
033275,20160131,2015,INDL,C,D,STD,SMAR,SMARTSHEET INC,USD,A,451030
033301,20160131,2015,INDL,C,D,STD,DOCU,DOCUSIGN INC,USD,A,451030
033326,20161231,2016,INDL,C,D,STD,CHX,CHAMPIONX CORP,USD,A,101010
033420,20161231,2016,INDL,C,D,STD,LASR,NLIGHT INC,USD,A,452030
033421,20161231,2016,INDL,C,D,STD,GSHD,GOOSEHEAD INSURANCE,USD,A,403010
033424,20160930,2016,INDL,C,D,STD,ROAD,CONSTRUCTION PRTNR INC,USD,A,201030
033435,20161231,2016,INDL,C,D,STD,INSP,INSPIRE MEDICAL SYSTEM,USD,A,351010
033445,20161231,2016,INDL,C,D,STD,SRRK,SCHOLAR ROCK HOLDNG CRP,USD,A,352010
033459,20161231,2016,FS,C,D,STD,OBNK,ORIGIN BANCORP,USD,A,401010
033459,20161231,2016,INDL,C,D,STD,OBNK,ORIGIN BANCORP,USD,A,401010
033499,20161231,2016,INDL,C,D,STD,XCUR,EXICURE INC,USD,A,352010
033533,20161231,2016,INDL,C,D,STD,EVOP,EVO PAYMENTS INC,USD,A,451020
033598,20161231,2016,INDL,C,D,STD,USX,US XPRESS ENTRPRS INC,USD,A,203040
033610,20161231,2016,INDL,C,D,STD,AVLR,AVALARA INC,USD,I,451030
033625,20161231,2016,FS,C,D,STD,AMAL,AMALGAMATED FINANCIAL CORP,USD,A,401010
033625,20161231,2016,INDL,C,D,STD,AMAL,AMALGAMATED FINANCIAL CORP,USD,A,401010
033637,20161231,2016,INDL,C,D,STD,BV,BRIGHTVIEW HOLDINGS,USD,A,202010
033638,20160930,2016,INDL,C,D,STD,IIIV,I3 VERTICALS INC,USD,A,451020
033643,20161231,2016,INDL,C,D,STD,APTX,APTINYX INC,USD,A,352010
033652,20160331,2015,INDL,C,D,STD,SKY,SKYLINE CHAMPION CORP,USD,A,252010
033660,20161231,2016,INDL,C,D,STD,XERS,XERIS BIOPHARMA HOLDINGS INC,USD,A,352020
033668,20161231,2016,INDL,C,D,STD,BE,BLOOM ENERGY CORP,USD,A,201040
033694,20161231,2016,INDL,C,D,STD,EVER,EVERQUOTE INC,USD,A,502030
033698,20161231,2016,INDL,C,D,STD,STIM,NEURONETICS INC,USD,A,351010
033708,20161231,2016,INDL,C,D,STD,RVIC,RETAIL VALUE INC,USD,A,601010
033718,20160131,2015,INDL,C,D,STD,BJ,BJS WHSL CLUB HLDGS INC,USD,A,301010
033723,20161231,2016,INDL,C,D,STD,CRNX,CRINETICS PHARMCTCL INC,USD,A,352010
033733,20161231,2016,INDL,C,D,STD,LEGH,LEGACY HOUSING CORP,USD,A,252010
033743,20161231,2016,INDL,C,D,STD,AQST,AQUESTIVE THERAPETC INC,USD,A,352020
033750,20161231,2016,INDL,C,D,STD,IAA,IAA INC,USD,A,202010
033759,20161231,2016,INDL,C,D,STD,TENB,TENABLE HOLDINGS INC,USD,A,451030
033766,20161231,2016,INDL,C,D,STD,ARLO,ARLO TECHNOLOGIES INC,USD,A,452030
033767,20160930,2016,INDL,C,D,STD,SONO,SONOS INC,USD,A,252010
033810,20161231,2016,INDL,C,D,STD,LQDA,LIQUIDIA CORP,USD,A,352020
033911,20161231,2016,INDL,C,D,STD,IMXI,INTERNATIONAL MONEY EXPR INC,USD,A,451020
033951,20161231,2016,INDL,C,D,STD,FTDR,FRONTDOOR INC,USD,A,253020
033955,20161231,2016,INDL,C,D,STD,ELAN,ELANCO ANIMAL HLTH INC,USD,A,352020
033962,20160930,2016,INDL,C,D,STD,MESA,MESA AIR GROUP,USD,A,203020
033999,20161231,2016,FS,C,D,STD,AMTB,AMERANT BANCORP INC,USD,A,401010
033999,20161231,2016,INDL,C,D,STD,AMTB,AMERANT BANCORP INC,USD,A,401010
034010,20161231,2016,INDL,C,D,STD,CRK,COMSTOCK RESOURCES INC,USD,A,101020
034034,20161231,2016,INDL,C,D,STD,STR,SITIO ROYALTIES CORP,USD,A,101020
034048,20161231,2016,INDL,C,D,STD,LTHM,LIVENT CORP,USD,A,151010
034053,20161231,2016,INDL,C,D,STD,REZI,RESIDEO TECHNOLOGIES,USD,A,201020
034055,20160131,2015,INDL,C,D,STD,KLXE,KLX ENERGY SERVS HLDNG,USD,A,101010
034065,20161231,2016,INDL,C,D,STD,STRO,SUTRO BIOPHARMA INC,USD,A,352010
034076,20161231,2016,INDL,C,D,STD,EB,EVENTBRITE INC,USD,A,502030
034077,20161231,2016,INDL,C,D,STD,ARVN,ARVINAS INC,USD,A,352020
034082,20161231,2016,INDL,C,D,STD,GRTS,GRITSTONE BIO INC,USD,A,352010
034101,20161231,2016,INDL,C,D,STD,UPWK,UPWORK INC,USD,A,202020
034102,20161231,2016,INDL,C,D,STD,GH,GUARDANT HEALTH INC,USD,A,351020
034140,20161231,2016,INDL,C,D,STD,MNTV,MOMENTIVE GLOBAL INC,USD,A,451030
034193,20161231,2016,INDL,C,D,STD,SIBN,SI-BONE INC,USD,A,351010
034241,20160930,2016,INDL,C,D,STD,TWST,TWIST BIOSCIENCE CORP,USD,A,352010
034300,20161231,2016,INDL,C,D,STD,VRRM,VERRA MOBILITY CORP,USD,A,451020
034327,20161231,2016,INDL,C,D,STD,VAPO,VAPOTHERM INC,USD,A,351010
034337,20161231,2016,INDL,C,D,STD,ETRN,EQUITRANS MID CORP,USD,A,101020
034410,20161231,2016,INDL,C,D,STD,MRNA,MODERNA INC,USD,A,352010
