Area,2000Pop,2005Pop,2010Pop,fips
Brevard County,476299,529907,543376,12009
Broward County,1622974,1746896,1748066,12011
Calhoun County,13002,13850,14625,12013
Charlotte County,141620,155262,159978,12015
Citrus County,118106,133791,141236,12017
Clay County,140788,169418,190865,12019
Collier County,251412,307452,321520,12021
Columbia County,56413,63109,67531,12023
DeSoto County,32204,33864,34862,12027
Dixie County,13758,15427,16422,12029
Duval County,778896,828988,864263,12031
Escambia County,294415,298339,297619,12033
Flagler County,49818,77008,95696,12035
Franklin County,9827,10198,11549,12037
Gadsden County,45017,45258,46389,12039
Gilchrist County,14429,15801,16939,12041
Glades County,10531,12284,12884,12043
Gulf County,14548,15781,15863,12045
Hamilton County,13321,14017,14799,12047
Hardee County,26854,26874,27731,12049
Hendry County,36184,38201,39140,12051
Hernando County,130795,157156,172778,12053
Highlands County,87391,95614,98786,12055
Hillsborough County,998994,1143154,1229226,12057
Holmes County,18564,19523,19927,12059
Indian River County,112877,127955,138028,12061
Jackson County,46781,47930,49746,12063
Jefferson County,12876,14210,14761,12065
Lafayette County,7019,8131,8870,12067
Lake County,210418,267587,297052,12069
Lee County,440910,555029,618754,12071
Leon County,239509,258083,275487,12073
Levy County,34448,38355,40801,12075
Liberty County,7011,7820,8365,12077
Madison County,18720,19070,19224,12079
Manatee County,263996,306845,322833,12081
Marion County,258873,303558,331298,12083
Martin County,126777,141912,146318,12085
Miami-Dade County,2253793,2385872,2496435,12086
Monroe County,79602,75819,73090,12087
Nassau County,57645,65568,73314,12089
Okaloosa County,170520,184045,180822,12091
Okeechobee County,35869,39247,39996,12093
Orange County,896123,1053341,1145956,12095
Osceola County,172520,228026,268685,12097
Palm Beach County,1131189,1278380,1320134,12099
Pasco County,344749,421844,464697,12101
Pinellas County,921500,929426,916542,12103
Polk County,483888,547373,602095,12105
Putnam County,70418,73792,74364,12107
St. Johns County,123237,160266,190039,12109
St. Lucie County,192679,241965,277789,12111
Santa Rosa County,117752,141132,151372,12113
Sarasota County,326002,367912,379448,12115
Seminole County,365448,406840,422718,12117
Sumter County,53337,69261,93420,12119
Suwannee County,34881,38687,41551,12121
Taylor County,19253,20515,22570,12123
Union County,13428,14856,15535,12125
Volusia County,443385,486297,494593,12127
Wakulla County,22857,26706,30776,12129
Walton County,40561,49392,55043,12131
Washington County,20975,22216,24896,12133
Georgia,8186653,8925922,9687653,13000
Appling County,17405,17769,18236,13001
Atkinson County,7611,8096,8375,13003
Bacon County,10098,10552,11096,13005
Baker County,4047,3967,3451,13007
Baldwin County,44616,46304,45720,13009
Banks County,14425,16683,18395,13011
Barrow County,46177,57889,69367,13013
Bartow County,76062,90334,100157,13015
Ben Hill County,17498,17243,17634,13017
Berrien County,16210,17735,19286,13019
Bibb County,153955,154003,155547,13021
Bleckley County,11666,12127,13063,13023
Brantley County,14608,16535,18411,13025
Brooks County,16456,16124,16243,13027
Bryan County,23430,26557,30233,13029
Bulloch County,55961,63048,70217,13031
Burke County,22255,22939,23316,13033
Butts County,19460,22055,23655,13035
Calhoun County,6317,6256,6694,13037
Camden County,43658,46673,50513,13039
Candler County,9561,10158,10998,13043
Carroll County,87302,102526,110527,13045
Catoosa County,53188,59745,63942,13047
Charlton County,10282,11635,12171,13049
Chatham County,232372,242242,265128,13051
Chattahoochee County,14895,14096,11267,13053
Chattooga County,25423,25506,26015,13055
Cherokee County,142013,182128,214346,13057
Clarke County,101941,109536,116714,13059
Clay County,3342,3216,3183,13061
Clayton County,236644,256292,259424,13063
Clinch County,6847,6948,6798,13065
Cobb County,607450,646754,688078,13067
Coffee County,37421,39829,42356,13069
Colquitt County,42050,42993,45498,13071
Columbia County,89497,106477,124053,13073
Cook County,15779,16567,17212,13075
Coweta County,89254,108371,127317,13077
Crawford County,12481,12875,12630,13079
Crisp County,22020,22456,23439,13081
Dade County,15141,16188,16633,13083
Dawson County,15942,19611,22330,13085
Decatur County,28252,27511,27842,13087
DeKalb County,666158,668998,691893,13089
Dodge County,19154,20550,21796,13091
Dooly County,11480,13292,14918,13093
Dougherty County,96067,94610,94565,13095
Douglas County,92315,113354,132403,13097
Early County,12333,11749,11008,13099
Echols County,3747,3946,4034,13101
Effingham County,37522,45729,52250,13103
Elbert County,20509,20593,20166,13105
Emanuel County,21856,21777,22598,13107
Evans County,10485,10895,11000,13109
Fannin County,19792,22174,23682,13111
Fayette County,91313,101961,106567,13113
Floyd County,90622,94332,96317,13115
Forsyth County,98360,137643,175511,13117
Franklin County,20259,21725,22084,13119
Fulton County,815579,818737,920581,13121
Gilmer County,23367,26808,28292,13123
Glascock County,2563,2763,3082,13125
Glynn County,67580,72589,79626,13127
Gordon County,44090,50602,55186,13129
Grady County,23655,24031,25011,13131
Greene County,14363,15499,15994,13133
Gwinnett County,588133,710978,805321,13135
Habersham County,35884,39155,43041,13137
Hall County,139615,160979,179684,13139
Hancock County,10083,9634,9429,13141
Haralson County,25660,27987,28780,13143
Harris County,23783,28170,32024,13145
Hart County,22981,24376,25213,13147
Heard County,10980,11350,11834,13149
Henry County,119498,169607,203922,13151
Houston County,110740,126201,139900,13153
Irwin County,9918,9779,9538,13155
Jackson County,41612,50607,60485,13157
Jasper County,11441,12985,13900,13159
Jeff Davis County,12673,13729,15068,13161
Jefferson County,17239,16924,16930,13163
Jenkins County,8571,8510,8340,13165
Johnson County,8526,9516,9980,13167
Jones County,23691,27189,28669,13169
Lamar County,15956,16961,18317,13171
Lanier County,7246,8068,10078,13173
Laurens County,44861,46751,48434,13175
Lee County,24766,26505,28298,13177
Liberty County,61661,64718,63453,13179
Lincoln County,8330,8274,7996,13181
Long County,10273,11677,14464,13183
Lowndes County,92121,98273,109233,13185
Lumpkin County,21041,25884,29966,13187
McDuffie County,21263,21419,21875,13189
McIntosh County,10839,12408,14333,13191
Macon County,14041,14241,14740,13193
Madison County,25705,27123,28120,13195
Marion County,7133,7818,8742,13197
Meriwether County,22546,22587,21992,13199
Miller County,6368,6096,6125,13201
Mitchell County,23925,23363,23498,13205
Monroe County,21751,24080,26424,13207
Montgomery County,8234,8997,9123,13209
Morgan County,15499,16925,17868,13211
Murray County,36501,39723,39628,13213
Muscogee County,186213,186543,189885,13215
Newton County,61906,85647,99958,13217
Oconee County,25772,28616,32808,13219
Oglethorpe County,12610,13699,14899,13221
Paulding County,81615,113132,142324,13223
Peach County,23702,24756,27695,13225
Pickens County,23022,27277,29431,13227
Pierce County,15624,17179,18758,13229
Pike County,13460,15908,17869,13231
Polk County,38102,39860,41475,13233
Pulaski County,9604,10890,12010,13235
Putnam County,18774,20012,21218,13237
Quitman County,2596,2519,2513,13239
Rabun County,15035,15934,16276,13241
Randolph County,7791,7707,7719,13243
Richmond County,199552,195837,200549,13245
Rockdale County,70292,78086,85215,13247
Schley County,3760,4270,5010,13249
Screven County,15357,15065,14593,13251
Seminole County,9364,8905,8729,13253
Spalding County,58461,61091,64073,13255
Stephens County,25442,25332,26175,13257
Stewart County,5253,5595,6058,13259
Sumter County,33228,32622,32819,13261
Talbot County,6513,6906,6865,13263
Taliaferro County,2076,1858,1717,13265
Tattnall County,22314,23165,25520,13267
Taylor County,8815,8860,8906,13269
Telfair County,11815,15070,16500,13271
Terrell County,10963,10134,9315,13273
Thomas County,42791,43556,44720,13275
Tift County,38376,38789,40118,13277
Toombs County,26133,26539,27223,13279
Towns County,9312,9940,10471,13281
Treutlen County,6836,6679,6885,13283
Troup County,58753,63233,67044,13285
Turner County,9494,9245,8930,13287
Twiggs County,10601,9978,9023,13289
Union County,17286,19856,21356,13291
Upson County,27761,27440,27153,13293
Walker County,61140,65160,68756,13295
Walton County,60637,73696,83768,13297
Ware County,35497,35011,36312,13299
Warren County,6309,6153,5834,13301
Washington County,21197,20155,21187,13303
Wayne County,26571,28522,30099,13305
Webster County,2390,2576,2799,13307
Wheeler County,6170,6701,7421,13309
White County,19976,24690,27144,13311
Whitfield County,83561,94162,102599,13313
Wilcox County,8625,8789,9255,13315
Wilkes County,10706,10553,10593,13317
Wilkinson County,10202,9881,9563,13319
Worth County,22029,21670,21679,13321
Hawaii,1211497,1292729,1360301,15000
Hawaii County,148641,168237,185079,15001
Honolulu County,876159,918181,953207,15003
Kalawao County,147,114,90,15005
Kauai County,58460,62863,67091,15007
Maui County,128090,143334,154834,15009
Idaho,1293957,1428241,1567582,16000
Ada County,300953,348755,392365,16001
Adams County,3483,3817,3976,16003
Bannock County,75562,77419,82839,16005
Bear Lake County,6418,6077,5986,16007
Benewah County,9169,9053,9285,16009
Bingham County,41737,43173,45607,16011
Blaine County,18994,20897,21376,16013
Boise County,6644,6981,7028,16015
Bonner County,36809,39576,40877,16017
Bonneville County,82545,91709,104234,16019
Boundary County,9880,10303,10972,16021
Butte County,2897,2825,2891,16023
Camas County,981,1069,1117,16025
Canyon County,131452,163947,188923,16027
Caribou County,7296,6963,6963,16029
Cassia County,21399,21372,22952,16031
Clark County,1022,925,982,16033
Clearwater County,8928,8659,8761,16035
Custer County,4340,4084,4368,16037
Elmore County,29116,25919,27038,16039
Franklin County,11333,12079,12786,16041
Fremont County,11813,12610,13242,16043
Gem County,15179,16304,16719,16045
Gooding County,14150,14614,15464,16047
Idaho County,15506,15522,16267,16049
Jefferson County,19117,21674,26140,16051
Jerome County,18401,19654,22374,16053
Kootenai County,108682,125972,138494,16055
Latah County,34925,35958,37244,16057
Lemhi County,7798,7708,7936,16059
Lewis County,3744,3665,3821,16061
Lincoln County,4050,4694,5208,16063
Madison County,27491,33807,37536,16065
Minidoka County,20155,19013,20069,16067
Nez Perce County,37418,38071,39265,16069
Oneida County,4125,4137,4286,16071
Owyhee County,10644,10993,11526,16073
Payette County,20584,21484,22623,16075
Power County,7542,7426,7817,16077
Shoshone County,13763,12912,12765,16079
Teton County,6006,7814,10170,16081
Twin Falls County,64286,69833,77230,16083
Valley County,7637,8779,9862,16085
Washington County,9983,9995,10198,16087
Illinois,12419927,12609903,12830632,17000
Adams County,68261,66920,67103,17001
Alexander County,9583,8914,8238,17003
Bond County,17636,17988,17768,17005
Boone County,41788,49725,54165,17007
Brown County,6952,6917,6937,17009
Bureau County,35496,34977,34978,17011
Calhoun County,5079,5163,5089,17013
Carroll County,16671,15914,15387,17015
Cass County,13691,13670,13642,17017
Champaign County,179687,190659,201081,17019
Christian County,35380,35165,34800,17021
Clark County,16995,16728,16335,17023
Clay County,14417,14134,13815,17025
Clinton County,35536,36681,37762,17027
Coles County,53210,53016,53873,17029
Cook County,5376741,5207615,5194675,17031
Crawford County,20460,20051,19817,17033
Cumberland County,11311,11057,11048,17035
DeKalb County,88941,98438,105160,17037
De Witt County,16802,16716,16561,17039
Douglas County,19909,20101,19980,17041
DuPage County,904594,911378,916924,17043
Edgar County,19643,18987,18576,17045
Edwards County,6978,6796,6721,17047
Effingham County,34267,34365,34242,17049
Fayette County,21810,21848,22140,17051
Ford County,14227,14092,14081,17053
Franklin County,39021,39587,39561,17055
Fulton County,38244,37452,37069,17057
Gallatin County,6426,6030,5589,17059
Greene County,14766,14382,13886,17061
Grundy County,37528,44181,50063,17063
Hamilton County,8613,8471,8457,17065
Hancock County,20171,19479,19104,17067
Hardin County,4793,4615,4320,17069
Henderson County,8176,7786,7331,17071
Henry County,51032,50572,50486,17073
Iroquois County,31340,30548,29718,17075
Jackson County,59607,60006,60218,17077
Jasper County,10113,9905,9698,17079
Jefferson County,40051,39624,38827,17081
Jersey County,21649,22500,22985,17083
Jo Daviess County,22296,22680,22678,17085
Johnson County,12877,12816,12582,17087
Kane County,404508,475384,515269,17089
Kankakee County,103825,107917,113449,17091
Kendall County,54539,81107,114736,17093
Knox County,55842,53513,52919,17095
Lake County,644682,684419,703462,17097
