Area,2000Pop,2005Pop,2010Pop,fips
Audrain County,25857,25725,25529,29007
Barry County,33980,35241,35597,29009
Barton County,12543,12976,12402,29011
Bates County,16648,17117,17049,29013
Benton County,17141,18688,19056,29015
Bollinger County,12012,12466,12363,29017
Boone County,135477,148786,162642,29019
Buchanan County,86013,86378,89201,29021
Butler County,40864,41995,42794,29023
Caldwell County,8964,9273,9424,29025
Callaway County,40762,42683,44332,29027
Camden County,36807,40641,44002,29029
Cape Girardeau County,68691,71793,75674,29031
Carroll County,10289,9912,9295,29033
Carter County,5940,6008,6265,29035
Cass County,82123,92520,99478,29037
Cedar County,13713,14297,13982,29039
Chariton County,8436,8092,7831,29041
Christian County,54303,65963,77422,29043
Clark County,7416,7224,7139,29045
Clay County,183941,200659,221939,29047
Clinton County,19002,20392,20743,29049
Cole County,71423,72948,75990,29051
Cooper County,16668,17380,17601,29053
Crawford County,22785,24137,24696,29055
Dade County,7920,7910,7883,29057
Dallas County,15725,16325,16777,29059
Daviess County,8012,8231,8433,29061
DeKalb County,13090,12727,12892,29063
Dent County,14926,15257,15657,29065
Douglas County,13082,13474,13684,29067
Dunklin County,33184,32581,31953,29069
Franklin County,93820,98417,101492,29071
Gasconade County,15350,15516,15222,29073
Gentry County,6867,6780,6738,29075
Greene County,240460,257282,275174,29077
Grundy County,10420,10280,10261,29079
Harrison County,8856,8893,8957,29081
Henry County,22005,22354,22272,29083
Hickory County,8922,9476,9627,29085
Holt County,5354,5047,4912,29087
Howard County,10208,10091,10144,29089
Howell County,37273,38704,40400,29091
Iron County,10676,10630,10630,29093
Jackson County,654941,658592,674158,29095
Jasper County,104704,110219,117404,29097
Jefferson County,198362,210142,218733,29099
Johnson County,48270,51178,52595,29101
Knox County,4360,4188,4131,29103
Laclede County,32532,34236,35571,29105
Lafayette County,32939,33280,33381,29107
Lawrence County,35216,37399,38634,29109
Lewis County,10487,10272,10211,29111
Lincoln County,38916,46945,52566,29113
Linn County,13754,13074,12761,29115
Livingston County,14562,14624,15195,29117
McDonald County,21684,22718,23083,29119
Macon County,15760,15595,15566,29121
Madison County,11851,12007,12226,29123
Maries County,8924,9170,9176,29125
Marion County,28267,28309,28781,29127
Mercer County,3756,3684,3785,29129
Miller County,23562,24582,24748,29131
Mississippi County,13430,13872,14358,29133
Moniteau County,14829,15312,15607,29135
Monroe County,9320,9209,8840,29137
Montgomery County,12140,12285,12236,29139
Morgan County,19239,20273,20565,29141
New Madrid County,19691,18919,18956,29143
Newton County,52596,55941,58114,29145
Nodaway County,21913,22588,23370,29147
Oregon County,10332,10513,10881,29149
Osage County,13019,13507,13878,29151
Ozark County,9536,9557,9723,29153
Pemiscot County,20079,19211,18296,29155
Perry County,18120,18602,18971,29157
Pettis County,39418,40455,42201,29159
Phelps County,39826,43327,45156,29161
Pike County,18347,18725,18516,29163
Platte County,73826,82615,89322,29165
Polk County,26922,29308,31137,29167
Pulaski County,41170,45570,52274,29169
Putnam County,5216,5153,4979,29171
Ralls County,9632,9998,10167,29173
Randolph County,24663,25451,25414,29175
Ray County,23374,23605,23494,29177
Reynolds County,6687,6707,6696,29179
Ripley County,13505,13920,14100,29181
St. Charles County,283939,328892,360485,29183
St. Clair County,9652,9733,9805,29185
Ste. Genevieve County,17819,18233,18145,29186
St. Francois County,55643,62298,65359,29187
St. Louis County,1016202,1004109,998954,29189
Saline County,23764,23053,23370,29195
Schuyler County,4173,4280,4431,29197
Scotland County,4983,4793,4843,29199
Scott County,40437,39719,39191,29201
Shannon County,8319,8300,8441,29203
Shelby County,6808,6683,6373,29205
Stoddard County,29720,30240,29968,29207
Stone County,28505,30800,32202,29209
Sullivan County,7228,6840,6714,29211
Taney County,39776,44635,51675,29213
Texas County,22996,24961,26008,29215
Vernon County,20449,20722,21159,29217
Warren County,24536,29095,32513,29219
Washington County,23318,24211,25195,29221
Wayne County,13237,13514,13521,29223
Webster County,31041,34005,36202,29225
Worth County,2384,2231,2171,29227
Wright County,17937,18489,18815,29229
St. Louis city,348192,324945,319294,29510
Montana,902200,940102,989415,30000
Beaverhead County,9192,8904,9246,30001
Big Horn County,12676,12634,12865,30003
Blaine County,7009,6592,6491,30005
Broadwater County,4380,4775,5612,30007
Carbon County,9545,9921,10078,30009
Carter County,1358,1258,1160,30011
Cascade County,80356,80041,81327,30013
Chouteau County,5962,5708,5813,30015
Custer County,11694,11423,11699,30017
Daniels County,2017,1782,1751,30019
Dawson County,9059,8800,8966,30021
Deer Lodge County,9416,9274,9298,30023
Fallon County,2835,2712,2890,30025
Fergus County,11905,11444,11586,30027
Flathead County,74507,83320,90928,30029
Gallatin County,67837,80310,89513,30031
Garfield County,1279,1202,1206,30033
Glacier County,13240,13264,13399,30035
Golden Valley County,1040,1014,884,30037
Granite County,2841,3009,3079,30039
Hill County,16671,15870,16096,30041
Jefferson County,10034,10709,11406,30043
Judith Basin County,2326,2161,2072,30045
Lake County,26482,28023,28746,30047
Lewis and Clark County,55716,58529,63395,30049
Liberty County,2158,2266,2339,30051
Lincoln County,18820,19180,19687,30053
McCone County,1971,1778,1734,30055
Madison County,6848,7211,7691,30057
Meagher County,1928,1899,1891,30059
Mineral County,3871,4133,4223,30061
Missoula County,95803,102298,109299,30063
Musselshell County,4492,4323,4538,30065
Park County,15694,15629,15636,30067
Petroleum County,493,492,494,30069
Phillips County,4601,4228,4253,30071
Pondera County,6425,6148,6153,30073
Powder River County,1858,1739,1743,30075
Powell County,7185,6997,7027,30077
Prairie County,1199,1098,1179,30079
Ravalli County,36093,39012,40212,30081
Richland County,9666,9207,9746,30083
Roosevelt County,10632,10437,10425,30085
Rosebud County,9389,9131,9233,30087
Sanders County,10238,11002,11413,30089
Sheridan County,4105,3573,3384,30091
Silver Bow County,34625,33414,34200,30093
Stillwater County,8221,8481,9117,30095
Sweet Grass County,3601,3675,3651,30097
Teton County,6449,6105,6073,30099
Toole County,5255,5130,5324,30101
Treasure County,857,766,718,30103
Valley County,7673,7367,7369,30105
Wheatland County,2259,2086,2168,30107
Wibaux County,1067,995,1017,30109
Yellowstone County,129347,137623,147972,30111
Nebraska,1711230,1761497,1826341,31000
Adams County,31150,30987,31364,31001
Antelope County,7447,6994,6685,31003
Arthur County,444,428,460,31005
Banner County,815,731,690,31007
Blaine County,583,492,478,31009
Boone County,6259,5746,5505,31011
Box Butte County,12159,11422,11308,31013
Boyd County,2443,2219,2099,31015
Brown County,3525,3329,3145,31017
Buffalo County,42232,44131,46102,31019
Burt County,7791,7225,6858,31021
Butler County,8857,8479,8395,31023
Cass County,24319,25170,25241,31025
Cedar County,9626,9240,8852,31027
Chase County,4068,3983,3966,31029
Cherry County,6149,6039,5713,31031
Cheyenne County,9833,10125,9998,31033
Clay County,7036,6669,6542,31035
Colfax County,10434,10238,10515,31037
Cuming County,10203,9642,9139,31039
Custer County,11794,11248,10939,31041
Dakota County,20265,20191,21006,31043
Dawes County,9060,9087,9182,31045
Dawson County,24370,24085,24326,31047
Deuel County,2089,1999,1941,31049
Dixon County,6277,5961,6000,31051
Dodge County,36150,36442,36691,31053
Douglas County,463567,488114,517110,31055
Dundy County,2292,2091,2008,31057
Fillmore County,6634,6126,5890,31059
Franklin County,3569,3425,3225,31061
Frontier County,3089,2944,2756,31063
Furnas County,5324,5051,4959,31065
Gage County,22992,22866,22311,31067
Garden County,2294,2111,2057,31069
Garfield County,1902,1969,2049,31071
Gosper County,2143,2110,2044,31073
Grant County,735,676,614,31075
Greeley County,2714,2577,2538,31077
Hall County,53577,54535,58607,31079
Hamilton County,9408,9269,9124,31081
Harlan County,3783,3558,3423,31083
Hayes County,1068,1051,967,31085
Hitchcock County,3110,2954,2908,31087
Holt County,11544,10839,10435,31089
Hooker County,783,744,736,31091
Howard County,6561,6432,6274,31093
Jefferson County,8340,8025,7547,31095
Johnson County,4488,5257,5217,31097
Kearney County,6887,6698,6489,31099
Keith County,8868,8418,8368,31101
Keya Paha County,985,904,824,31103
Kimball County,4085,3925,3821,31105
Knox County,9370,8897,8701,31107
Lancaster County,250307,268868,285407,31109
Lincoln County,34630,35577,36288,31111
Logan County,774,747,763,31113
Loup County,712,652,632,31115
McPherson County,533,522,539,31117
Madison County,35254,35631,34876,31119
Merrick County,8189,7904,7845,31121
Morrill County,5443,5110,5042,31123
Nance County,4042,3831,3735,31125
Nemaha County,7580,7252,7248,31127
Nuckolls County,5056,4796,4500,31129
Otoe County,15402,15607,15740,31131
Pawnee County,3089,2884,2773,31133
Perkins County,3199,3145,2970,31135
Phelps County,9746,9402,9188,31137
Pierce County,7843,7508,7266,31139
Platte County,31574,30865,32237,31141
Polk County,5629,5473,5406,31143
Red Willow County,11456,11219,11055,31145
Richardson County,9531,8799,8363,31147
Rock County,1754,1557,1526,31149
Saline County,13858,14136,14200,31151
Sarpy County,122633,140239,158840,31153
Saunders County,19827,20460,20780,31155
Scotts Bluff County,36952,36277,36970,31157
Seward County,16491,16601,16750,31159
Sheridan County,6186,5726,5469,31161
Sherman County,3312,3239,3152,31163
Sioux County,1475,1437,1311,31165
Stanton County,6453,6376,6129,31167
Thayer County,6042,5454,5228,31169
Thomas County,728,661,647,31171
Thurston County,7167,7009,6940,31173
Valley County,4651,4395,4260,31175
Washington County,18787,19861,20234,31177
Wayne County,9890,9654,9595,31179
Webster County,4055,3902,3812,31181
Wheeler County,888,832,818,31183
York County,14602,14021,13665,31185
Nevada,1998250,2432143,2700551,32000
Churchill County,23984,24593,24877,32001
Clark County,1375741,1729522,1951269,32003
Douglas County,41245,46731,46997,32005
Elko County,45287,44760,48818,32007
Esmeralda County,971,886,783,32009
Eureka County,1651,1467,1987,32011
Humboldt County,16081,15046,16528,32013
Lander County,5790,5117,5775,32015
Lincoln County,4165,4612,5345,32017
Lyon County,34503,46228,51980,32019
Mineral County,5070,4880,4772,32021
Nye County,32522,40027,43946,32023
Pershing County,6711,6580,6753,32027
Storey County,3408,3830,4010,32029
Washoe County,339473,392716,421407,32031
White Pine County,9171,9166,10030,32033
Carson City,52477,55982,55274,32510
New Hampshire,1235807,1298492,1316470,33000
Belknap County,56268,60287,60088,33001
Carroll County,43697,46652,47818,33003
Cheshire County,73811,77061,77117,33005
Coos County,33089,33845,33055,33007
Grafton County,81764,86287,89118,33009
Hillsborough County,380856,396381,400721,33011
Merrimack County,136264,145195,146445,33013
Rockingham County,277388,291190,295223,33015
Strafford County,112235,118681,123143,33017
Sullivan County,40435,42913,43742,33019
New Jersey,8414764,8651974,8791894,34000
Atlantic County,253210,270332,274549,34001
Bergen County,884179,891446,905116,34003
Burlington County,423329,447245,448734,34005
Camden County,507075,511982,513657,34007
Cape May County,102323,99269,97265,34009
Cumberland County,146454,152022,156898,34011
Essex County,792235,786341,783969,34013
Gloucester County,255946,275122,288288,34015
Hudson County,609041,614664,634266,34017
Hunterdon County,122110,128072,128349,34019
Mercer County,350773,362015,366513,34021
Middlesex County,750275,787329,809858,34023
Monmouth County,615253,627838,630380,34025
Morris County,470277,485472,492276,34027
Ocean County,510950,556012,576567,34029
Passaic County,490285,493600,501226,34031
Salem County,64272,65388,66083,34033
Somerset County,297544,312617,323444,34035
Sussex County,144343,150192,149265,34037
Union County,522507,526161,536499,34039
Warren County,102383,108855,108692,34041
New Mexico,1819017,1932274,2059179,35000
Bernalillo County,556120,615320,662564,35001
Catron County,3538,3425,3725,35003
Chaves County,61373,62172,65645,35005
Cibola County,25588,27204,27213,35006
Colfax County,14191,14031,13750,35007
Curry County,45050,46981,48376,35009
De Baca County,2240,2098,2022,35011
Doña Ana County,174880,189199,209233,35013
Eddy County,51633,50732,53829,35015
Grant County,31004,29281,29514,35017
Guadalupe County,4677,4713,4687,35019
Harding County,807,756,695,35021
Hidalgo County,5930,4955,4894,35023
Lea County,55528,58331,64727,35025
Lincoln County,19374,20453,20497,35027
Los Alamos County,18347,18407,17950,35028
Luna County,24986,25102,25095,35029
McKinley County,74795,70666,71492,35031
Mora County,5178,5002,4881,35033
Otero County,62195,62533,63797,35035
Quay County,10088,9131,9041,35037
Rio Arriba County,41171,40198,40246,35039
Roosevelt County,18022,19093,19846,35041
Sandoval County,90546,107436,131561,35043
San Juan County,113812,124809,130044,35045
San Miguel County,30089,29621,29393,35047
Santa Fe County,129304,137610,144170,35049
Sierra County,13261,12120,11988,35051
Socorro County,18056,18052,17866,35053
Taos County,29981,31850,32937,35055
Torrance County,16894,16702,16383,35057
Union County,4190,4198,4549,35059
Valencia County,66169,70093,76569,35061
New York,18977026,19132610,19378102,36000
Albany County,294601,302791,304204,36001
Allegany County,49881,49768,48946,36003
Bronx County,1332244,1351736,1385108,36005
Broome County,200415,200477,200600,36007
Cattaraugus County,83874,82039,80317,36009
Cayuga County,81910,81104,80026,36011
Chautauqua County,139698,136139,134905,36013
Chemung County,91119,88860,88830,36015
Chenango County,51356,51154,50477,36017
Clinton County,79882,82233,82128,36019
Columbia County,63074,63717,63096,36021
Cortland County,48704,49330,49336,36023
Delaware County,47894,48377,47980,36025
Dutchess County,280032,294362,297488,36027
Erie County,950227,931745,919040,36029
Essex County,38893,39321,39370,36031
Franklin County,51110,51257,51599,36033
Fulton County,55053,55301,55531,36035
Genesee County,60548,60068,60079,36037
Greene County,48021,49142,49221,36039
Hamilton County,5376,5093,4836,36041
Herkimer County,64502,64292,64519,36043
Jefferson County,111716,113486,116229,36045
Kings County,2465689,2445809,2504700,36047
Lewis County,26946,26773,27087,36049
Livingston County,64631,65322,65393,36051
Madison County,69420,71471,73442,36053
Monroe County,735328,738506,744344,36055
Montgomery County,49637,49505,50219,36057
Nassau County,1334625,1332318,1339532,36059
New York County,1538096,1573573,1585873,36061
Niagara County,219795,216818,216469,36063
Oneida County,235516,234282,234878,36065
Onondaga County,458326,460910,467026,36067
Ontario County,100009,104259,107931,36069
Orange County,341397,364522,372813,36071
Orleans County,44184,43475,42883,36073
Oswego County,122387,122640,122109,36075
Otsego County,61692,63069,62259,36077
Putnam County,95731,99575,99710,36079
Queens County,2229394,2185222,2230722,36081
Rensselaer County,152553,156104,159429,36083
Richmond County,443762,457028,468730,36085
Rockland County,286794,298737,311687,36087
St. Lawrence County,111922,111606,111944,36089
Saratoga County,200626,212975,219607,36091
Schenectady County,146652,150200,154727,36093
Schoharie County,31488,32534,32749,36095
Schuyler County,19188,18880,18343,36097
Seneca County,33319,35177,35251,36099
Steuben County,98681,98868,98990,36101
Suffolk County,1419379,1477687,1493350,36103
Sullivan County,73885,76780,77547,36105
Tioga County,51883,51611,51125,36107
Tompkins County,96487,99433,101564,36109
Ulster County,177726,182438,182493,36111
Warren County,63263,65206,65707,36113
Washington County,61032,62468,63216,36115
Wayne County,93779,93727,93772,36117
Westchester County,923621,933401,949113,36119
Wyoming County,43462,42780,42155,36121
Yates County,24591,25129,25348,36123
North Carolina,8046346,8705407,9535483,37000
Alamance County,130750,139311,151131,37001
Alexander County,33566,35786,37198,37003
Alleghany County,10672,10788,11155,37005
Anson County,25268,26585,26948,37007
Ashe County,24394,25838,27281,37009
Avery County,17149,17945,17797,37011
Beaufort County,44916,46059,47759,37013
Bertie County,19765,20057,21282,37015
Bladen County,32252,33934,35190,37017
Brunswick County,73121,87846,107431,37019
Buncombe County,206365,221642,238318,37021
Burke County,89163,89526,90912,37023
Cabarrus County,131043,150797,178011,37025
Caldwell County,77425,80218,83029,37027
Camden County,6884,8991,9980,37029
Carteret County,59334,62833,66469,37031
Caswell County,23474,23827,23719,37033
Catawba County,141700,148629,154358,37035
Chatham County,49396,57045,63505,37037
Cherokee County,24261,26077,27444,37039
Chowan County,14522,14625,14793,37041
Clay County,8778,9833,10587,37043
Cleveland County,96129,96844,98078,37045
Columbus County,54758,55155,58098,37047
Craven County,91526,94729,103505,37049
Cumberland County,302978,303695,319431,37051
Currituck County,18179,22418,23547,37053
Dare County,29959,33354,33920,37055
Davidson County,147248,155425,162878,37057
Davie County,34841,38559,41240,37059
Duplin County,49054,53445,58505,37061
Durham County,223270,241785,267587,37063
Edgecombe County,55604,56151,56552,37065
Forsyth County,306274,325065,350670,37067
Franklin County,47284,54260,60619,37069
Gaston County,190445,193527,206086,37071
Gates County,10521,11294,12197,37073
Graham County,7996,8418,8861,37075
Granville County,48486,54115,59916,37077
Greene County,18957,20146,21362,37079
Guilford County,420848,448192,488406,37081
Halifax County,57444,55860,54691,37083
Harnett County,90978,100728,114678,37085
Haywood County,54025,57085,59036,37087
Henderson County,89184,97584,106740,37089
Hertford County,22588,23895,24669,37091
Hoke County,33708,39798,46952,37093
Hyde County,5817,5733,5810,37095
Iredell County,122631,140514,159437,37097
Jackson County,33103,37075,40271,37099
Johnston County,121998,144417,168878,37101
Jones County,10311,10053,10153,37103
Lee County,49196,51056,57866,37105
Lenoir County,59636,59195,59495,37107
Lincoln County,63810,69902,78265,37109
McDowell County,42134,43655,44996,37111
Macon County,29802,32054,33922,37113
Madison County,19612,20097,20764,37115
Martin County,25549,24575,24505,37117
Mecklenburg County,695348,798701,919628,37119
Mitchell County,15687,15858,15579,37121
Montgomery County,26797,27153,27798,37123
Moore County,74772,80841,88247,37125
Nash County,87378,90876,95840,37127
New Hanover County,160315,185412,202667,37129
Northampton County,22051,22180,22099,37131
Onslow County,150418,157205,177772,37133
Orange County,115589,121526,133801,37135
Pamlico County,12896,13005,13144,37137
Pasquotank County,34890,37741,40661,37139
Pender County,41071,45485,52217,37141
Perquimans County,11369,12102,13453,37143
Person County,35603,37931,39464,37145
Pitt County,133759,147929,168148,37147
Polk County,18299,19557,20510,37149
Randolph County,130503,136301,141752,37151
Richmond County,46597,46310,46639,37153
Robeson County,123170,127885,134168,37155
Rockingham County,92018,92587,93643,37157
Rowan County,130364,132527,138428,37159
Rutherford County,62923,65126,67810,37161
Sampson County,60157,61720,63431,37163
Scotland County,35952,36405,36157,37165
Stanly County,58092,58931,60585,37167
Stokes County,44640,46165,47401,37169
Surry County,71208,72562,73673,37171
Swain County,12980,13463,13981,37173
Transylvania County,29316,30910,33090,37175
Tyrrell County,4143,4280,4407,37177
Union County,123834,160835,201292,37179
Vance County,42946,44136,45422,37181
Wake County,627906,746048,900993,37183
Warren County,19861,20642,20972,37185
Washington County,13730,13401,13228,37187
Watauga County,42684,46390,51079,37189
Wayne County,113449,117009,122623,37191
Wilkes County,65630,68104,69340,37193
Wilson County,73810,76775,81234,37195
Yadkin County,36352,37591,38406,37197
Yancey County,17758,17757,17818,37199
North Dakota,642237,646089,672591,38000
Adams County,2593,2405,2343,38001
Barnes County,11772,11171,11066,38003
Benson County,6961,6745,6660,38005
Billings County,888,773,783,38007
Bottineau County,7156,6650,6429,38009
Bowman County,3243,3046,3151,38011
Burke County,2243,2042,1968,38013
Burleigh County,69408,74375,81308,38015
Cass County,123171,135181,149778,38017
Cavalier County,4832,4384,3993,38019
Dickey County,5768,5496,5289,38021
Divide County,2283,2116,2071,38023
Dunn County,3606,3422,3536,38025
Eddy County,2756,2610,2385,38027
Emmons County,4327,3825,3550,38029
Foster County,3761,3564,3343,38031
Golden Valley County,1925,1709,1680,38033
Grand Forks County,66119,66629,66861,38035
Grant County,2841,2599,2394,38037
Griggs County,2754,2519,2420,38039
Hettinger County,2715,2587,2477,38041
Kidder County,2738,2496,2435,38043
LaMoure County,4690,4447,4139,38045
Logan County,2315,2074,1990,38047
McHenry County,5983,5568,5395,38049
McIntosh County,3388,3137,2809,38051
McKenzie County,5738,5721,6360,38053
McLean County,9346,8815,8962,38055
Mercer County,8634,8366,8424,38057
Morton County,25301,25576,27471,38059
Mountrail County,6636,6840,7673,38061
Nelson County,3706,3384,3126,38063
Oliver County,2057,1907,1846,38065
Pembina County,8620,7911,7413,38067
Pierce County,4667,4398,4357,38069
Ramsey County,12062,11344,11451,38071
Ransom County,5896,5770,5457,38073
Renville County,2612,2519,2470,38075
Richland County,17992,17306,16321,38077
Rolette County,13674,13663,13937,38079
Sargent County,4362,4101,3829,38081
Sheridan County,1711,1483,1321,38083
Sioux County,4043,4084,4153,38085
Slope County,765,732,727,38087
Stark County,22635,22671,24199,38089
Steele County,2252,2077,1975,38091
Stutsman County,21912,21132,21100,38093
Towner County,2878,2478,2246,38095
Traill County,8479,8317,8121,38097
Walsh County,12375,11639,11119,38099
Ward County,58799,57878,61675,38101
Wells County,5095,4552,4207,38103
Williams County,19754,19855,22398,38105
Ohio,11353336,11463320,11536504,39000
Adams County,27303,28522,28550,39001
Allen County,108464,106861,106331,39003
Ashland County,52516,53048,53139,39005
Ashtabula County,102681,102638,101497,39007
Athens County,62193,64075,64757,39009
Auglaize County,46230,46166,45949,39011
Belmont County,70239,70203,70400,39013
Brown County,42261,44161,44846,39015
Butler County,332341,350732,368130,39017
Carroll County,28822,29118,28836,39019
Champaign County,38904,39592,40097,39021
Clark County,144742,141367,138333,39023
Clermont County,177322,189486,197363,39025
Clinton County,40473,41775,42040,39027
Columbiana County,112050,109784,107841,39029
Coshocton County,36654,37363,36901,39031
Crawford County,46909,45536,43784,39033
Cuyahoga County,1393871,1330612,1280122,39035
Darke County,53313,53200,52959,39037
Defiance County,39502,39049,39037,39039
Delaware County,109974,149153,174214,39041
Erie County,79623,78070,77079,39043
Fairfield County,122943,138745,146156,39045
Fayette County,28474,28695,29030,39047
Franklin County,1068736,1105497,1163414,39049
Fulton County,42051,42897,42698,39051
Gallia County,31058,30993,30934,39053
Geauga County,90935,93614,93389,39055
Greene County,147931,156223,161573,39057
Guernsey County,40813,40752,40087,39059
Hamilton County,845289,810352,802374,39061
Hancock County,71303,73585,74782,39063
Hardin County,31966,31983,32058,39065
Harrison County,15847,15907,15864,39067
Henry County,29202,29031,28215,39069
Highland County,40853,42967,43589,39071
Hocking County,28263,29058,29380,39073
Holmes County,38940,41630,42366,39075
Huron County,59447,60116,59626,39077
Jackson County,32653,33242,33225,39079
Jefferson County,73886,71251,69709,39081
Knox County,54482,58641,60921,39083
Lake County,227482,227647,230041,39085
Lawrence County,62330,62476,62450,39087
Licking County,145699,157950,166492,39089
Logan County,46002,46066,45858,39091
Lorain County,284657,294873,301356,39093
Lucas County,455093,449224,441815,39095
Madison County,40210,41292,43435,39097
Mahoning County,257588,247702,238823,39099
Marion County,66198,66468,66501,39101
Medina County,151096,164953,172332,39103
Meigs County,23058,23588,23770,39105
Mercer County,40936,40967,40814,39107
Miami County,98899,101564,102506,39109
Monroe County,15172,14943,14642,39111
Montgomery County,559141,546979,535153,39113
Morgan County,14947,15216,15054,39115
Morrow County,31646,34271,34827,39117
Muskingum County,84549,85696,86074,39119
Noble County,14058,14210,14645,39121
Ottawa County,40974,41629,41428,39123
Paulding County,20297,19810,19614,39125
Perry County,34052,35254,36058,39127
Pickaway County,52728,52954,55698,39129
Pike County,27628,28299,28709,39131
Portage County,152126,157469,161419,39133
Preble County,42340,42584,42270,39135
Putnam County,34722,34798,34499,39137
Richland County,128932,127724,124475,39139
Ross County,73382,75935,78064,39141
Sandusky County,61797,61865,60944,39143
Scioto County,79215,77926,79499,39145
Seneca County,58663,57664,56745,39147
Shelby County,48292,49044,49423,39149
Stark County,378144,376050,375586,39151
Summit County,542849,545029,541781,39153
Trumbull County,225105,217926,210312,39155
Tuscarawas County,90919,92286,92582,39157
Union County,40975,46952,52300,39159
Van Wert County,29654,29264,28744,39161
Vinton County,12809,13370,13435,39163
Warren County,159551,195499,212693,39165
Washington County,63242,62547,61778,39167
Wayne County,111562,113603,114520,39169
Williams County,39189,38546,37642,39171
Wood County,121072,124698,125488,39173
Wyandot County,22897,22820,22615,39175
Oklahoma,3450451,3548597,3751351,40000
Adair County,21009,21887,22683,40001
Alfalfa County,6092,5706,5642,40003
Atoka County,13876,14034,14182,40005
Beaver County,5832,5569,5636,40007
Beckham County,19807,19151,22119,40009
Blaine County,11965,12264,11943,40011
Bryan County,36524,38309,42416,40013
Caddo County,30146,29202,29600,40015
Canadian County,87729,99176,115541,40017
Carter County,45614,46169,47557,40019
Cherokee County,42475,44805,46987,40021
Choctaw County,15334,15244,15205,40023
Cimarron County,3139,2610,2475,40025
Cleveland County,208036,229743,255755,40027
Coal County,6035,5743,5925,40029
Comanche County,114996,115085,124098,40031
Cotton County,6603,6390,6193,40033
Craig County,14951,14896,15029,40035
Creek County,67340,67715,69967,40037
Custer County,26147,25876,27469,40039
Delaware County,36949,39277,41487,40041
Dewey County,4740,4611,4810,40043
Ellis County,4063,3983,4151,40045
Garfield County,57811,57358,60580,40047
Garvin County,27216,27089,27576,40049
Grady County,45476,49256,52431,40051
Grant County,5144,4771,4527,40053
Greer County,6061,6082,6239,40055
Harmon County,3285,2953,2922,40057
Harper County,3558,3458,3685,40059
Haskell County,11778,12175,12769,40061
Hughes County,14150,13595,14003,40063
Jackson County,28439,26862,26446,40065
Jefferson County,6820,6483,6472,40067
Johnston County,10512,10431,10957,40069
Kay County,48086,46469,46562,40071
Kingfisher County,13932,14390,15034,40073
Kiowa County,10225,9955,9446,40075
Latimer County,10689,10796,11154,40077
Le Flore County,48099,48869,50384,40079
Lincoln County,32070,33011,34273,40081
Logan County,33911,36501,41848,40083
Love County,8826,9159,9423,40085
McClain County,27750,30322,34506,40087
McCurtain County,34384,33235,33151,40089
McIntosh County,19405,19595,20252,40091
Major County,7545,7379,7527,40093
Marshall County,13131,14686,15840,40095
Mayes County,38339,39670,41259,40097
Murray County,12617,12803,13488,40099
Muskogee County,69471,69806,70990,40101
Noble County,11406,11477,11561,40103
Nowata County,10564,10666,10536,40105
Okfuskee County,11808,11867,12191,40107
Oklahoma County,660581,683299,718633,40109
Okmulgee County,39672,39569,40069,40111
Osage County,44413,46335,47472,40113
Ottawa County,33164,32655,31848,40115
Pawnee County,16610,16565,16577,40117
Payne County,68201,72578,77350,40119
Pittsburg County,43944,44412,45837,40121
Pontotoc County,35146,35267,37492,40123
Pottawatomie County,65505,67264,69442,40125
Pushmataha County,11660,11361,11572,40127
Roger Mills County,3432,3385,3647,40129
Rogers County,70649,80313,86905,40131
Seminole County,24966,24878,25482,40133
Sequoyah County,38952,40634,42391,40135
Stephens County,43204,43318,45048,40137
Texas County,20098,19408,20640,40139
Tillman County,9285,8464,7992,40141
Tulsa County,563475,568199,603403,40143
Wagoner County,57476,64165,73085,40145
Washington County,49015,48885,50976,40147
Washita County,11510,11228,11629,40149
Woods County,9094,8679,8878,40151
Woodward County,18489,19122,20081,40153
Oregon,3421524,3613202,3831074,41000
Baker County,16742,16086,16134,41001
Benton County,78143,80943,85579,41003
Clackamas County,338407,359308,375992,41005
Clatsop County,35634,36282,37039,41007
Columbia County,43553,46955,49351,41009
Coos County,62795,63843,63043,41011
Crook County,19175,21019,20978,41013
Curry County,21147,22750,22364,41015
Deschutes County,115372,140567,157733,41017
Douglas County,100375,105285,107667,41019
Gilliam County,1910,1863,1871,41021
Grant County,7934,7389,7445,41023
Harney County,7606,7211,7422,41025
Hood River County,20407,21022,22346,41027
Jackson County,181281,194701,203206,41029
Jefferson County,18995,20622,21720,41031
Josephine County,75729,80660,82713,41033
Klamath County,63771,65553,66380,41035
Lake County,7421,7558,7895,41037
Lane County,323011,335831,351715,41039
Lincoln County,44481,45347,46034,41041
Linn County,103079,108132,116672,41043
Malheur County,31618,31273,31313,41045
Marion County,284844,299461,315335,41047
Morrow County,10995,11162,11173,41049
Multnomah County,660602,674862,735334,41051
Polk County,62412,68585,75403,41053
Sherman County,1934,1678,1765,41055
Tillamook County,24264,24974,25250,41057
Umatilla County,70556,73765,75889,41059
Union County,24522,24675,25748,41061
Wallowa County,7230,6877,7008,41063
Wasco County,23797,23929,25213,41065
Washington County,445256,490773,529710,41067
Wheeler County,1551,1414,1441,41069
Yamhill County,84975,90847,99193,41071
Pennsylvania,12280548,12449990,12702379,42000
Adams County,91207,98606,101407,42001
Allegheny County,1281795,1234787,1223348,42003
Armstrong County,72345,70602,68941,42005
